algorithms,AI,computational science,computer architecture,computer engineering,computer graphics,computer hardware,computer network,computer security,computer vision,data mining,data science,database,distributed computing,embedded systems,human-computer interaction,information retrieval,internet privacy,knowledge management,library science,machine learning,multimedia,natural language processing,operating systems,parallel computing,pattern recognition,programming languages,real-time computing,simulation,software engineering,speech recognition,telecommunications,theoretical computer science,world wide web
,,,,0.299697215737048,,,0.273820876770609,0.313419771811283,,,,,,,,,0.039480920595418,,,,,,,,,,,,0.073581215085643,,,,
,0.038415101442696,,,,0.105728008231913,,,,0.190828215581746,,,,,,0.025102700187405,,,,,0.044571345690518,,0.203450155517202,,,0.152146537751912,,,,,0.239757935596607,,,
,,,0.399968427339702,,,0.417024637446456,,,,,,,,,,,,,,,,,0.183006935213842,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.734392941157891,,,,,,,,,0.265607058842109,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,0.185954598685666,,,,,,,,,,,,,0.814045401314334,,,,,,
,,,,,,,,,,,,,,0.432637781069499,,,,,,,,,,,,,0.567362218930501,,,,,,
,,0.502342382312635,,,,,,,,,,,0.336480935385808,,,,,,,,,,,0.106478926174829,,,,,,,0.054697756126729,,
,0.161255424802029,,,,,,,,,,,,,,,,,,,,,0.231839931062923,,,0.448204170383691,,,,,0.158700473751357,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,0.313736453209942,,,,0.083688627575128,,,,,,,,,,,0.332292232193863,,,,,0.270282687021067,,,,,,,,
,,,0.355005508666972,,,0.628849421973255,,,,,,,,,,,,,,,,,0.016145069359773,,,,,,,,,,
,,,,,,,,,,0.047632345722597,0.210811750544993,0.281007695589113,,,,0.02769930357672,,0.161854953076906,,,,,,,,,,,,,,,0.27099395148967
,,,0.408924646362559,,,0.377121122260999,,,,,,,,,,,,,,,,,0.213954231376442,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,0.036755156591648,,,0.351127978899634,,,,,,,,,,,,,,,,,0.612116864508717,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,0.29718107459001,,,,0.123658792416297,,,,,,,,,,,0.27257770900771,,,,,0.306582423985984,,,,,,,,
0.124874298076656,,,,,,,,,,,,,,,,,,,,,0.667855276091165,,,,,,,,,,,0.207270425832179,
,,,,0.06745120876079,,,0.251725190464133,0.248266298025368,,,,,,,,,0.289716329171626,,,,,,,,,,,,0.142840973578084,,,,
,,,,0.229218034259558,,,0.001564451895103,0.010004044012048,,,,,,,,,0.344881730935818,,,,,,,,,,,,0.414331738897473,,,,
,,,,,,,,,,0.205971371541083,0.269729964254405,0.008325067466138,,,,0.24255202070405,,0.002204164304331,,,,,,,,,,,,,,,0.271217411729992
,,0.345810086423288,,,,,,,,,,,0.099696099803181,,,,,,,,,,,0.392095258562535,,,,,,,0.162398555210996,,
,,,,0.072968518832292,,,0.167850244080658,0.317862407554306,,,,,,,,,0.318989307010224,,,,,,,,,,,,0.122329522522521,,,,
,,,,,,,,,,,,,,,,,,,0.459827266517541,,,,,,,,,0.540172733482459,,,,,
,,,0.493213857961358,,,0.429168468607173,,,,,,,,,,,,,,,,,0.077617673431469,,,,,,,,,,
,0.16657785796054,,,,0.160900056911047,,,,0.022848103574976,,,,,,0.173253175654712,,,,,0.22064112835017,,0.114124681692542,,,0.058743208332837,,,,,0.082911787523177,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,0.187474169250074,,,,0.296104380425172,,,,,,,,,,,0.214719924776073,,,,,0.301701525548681,,,,,,,,
0.268433452673551,,,,0.092169833991639,,,0.09277133792998,0.086559710092689,,,,,,,,,0.231812374800701,,,,0.067571835011586,,,,,,,,0.01252711780536,,,0.148154337694493,
0.160111283355208,,,,0.133496822482262,,,0.164966967780745,0.109836622265778,,,,,,,,,0.02216310240794,,,,0.197714899324023,,,,,,,,0.140989226820975,,,0.070721075563069,
,,,,,,,,,,0.148257889888119,0.074019053214247,0.318386809755763,,,,0.018454827404677,,0.127385854229241,,,,,,,,,,,,,,,0.313495565507953
,,,,,,,,,,,,,,0.52352084036401,,,,,,,,,,,,,0.47647915963599,,,,,,
,,,,0.249013627045889,,,0.169682903531604,0.132007047291818,,,,,,,,,0.323111023574717,,,,,,,,,,,,0.126185398555971,,,,
,,,,,,,,,,,,,,0.782355277243373,,,,,,,,,,,,,0.217644722756627,,,,,,
,,,,0.143411282790697,,,0.073744209061579,0.350029732493083,,,,,,,,,0.196905432885539,,,,,,,,,,,,0.235909342769102,,,,
,,,,,,,,,,0.047336672276793,0.044178915067315,0.463130429020572,,,,0.108797212097824,,0.127700426965266,,,,,,,,,,,,,,,0.20885634457223
,,,,,,,,,,,,,,,,,,,0.558286749939094,,,,,,,,,0.441713250060906,,,,,
0.129194927625129,,,,0.024886351626904,,,0.227377455558658,0.121917550702856,,,,,,,,,0.019156737705163,,,,0.103996019222727,,,,,,,,0.205152756680795,,,0.168318200877768,
,,,,,0.134135149616745,,,,0.457432935341206,,,,,,,,,,,0.337871785739921,,,,,0.070560129302129,,,,,,,,
0.069832477068442,,,,0.210092700597875,,,0.077076305076999,0.151701746027769,,,,,,,,,0.170221074750293,,,,0.192311972114867,,,,,,,,0.026598980006062,,,0.102164744357693,
,,,,,,,,,,,,,,,,,,,0.528956026978284,,,,,,,,,0.471043973021716,,,,,
0.485586806290507,,,,,,,,,,,,,,,,,,,,,0.496136822010217,,,,,,,,,,,0.018276371699276,
,,,,,,,,,,,,,,,,,,,0.598623264123511,,,,,,,,,0.401376735876489,,,,,
,,,,0.150246596746757,,,0.137100237231469,0.185346550822832,,,,,,,,,0.315986694304314,,,,,,,,,,,,0.211319920894628,,,,
,,,,,,,,,,0.202469462090298,0.024626652144733,0.317153198095308,,,,0.261134558362116,,0.0117768911339,,,,,,,,,,,,,,,0.182839238173645
,,,0.164666220819451,,,0.481558942162676,,,,,,,,,,,,,,,,,0.353774837017873,,,,,,,,,,
,,,,,0.443445488978805,,,,0.141365030096972,,,,,,,,,,,0.207067185235772,,,,,0.208122295688451,,,,,,,,
